bot_worker-1  | 2026-03-31 05:07:07,659 [INFO] [gpt-5.4-mini] Tokens: 6180 in / 178 out / 6358 total | cost ~$0.0181
bot_worker-1  | 2026-03-31 05:07:53,594 [INFO] [gpt-5.4-mini] Tokens: 6086 in / 89 out / 6175 total | cost ~$0.0165
bot_worker-1  | 2026-03-31 05:08:11,517 [INFO] [gpt-5.4-mini] Tokens: 6129 in / 224 out / 6353 total | cost ~$0.0187
bot_worker-1  | 2026-03-31 05:08:57,363 [INFO] [gpt-5.4-mini] Tokens: 5830 in / 165 out / 5995 total | cost ~$0.0170
bot_worker-1  | 2026-03-31 05:09:31,369 [INFO] [gpt-5.4-mini] Tokens: 7090 in / 102 out / 7192 total | cost ~$0.0193
bot_worker-1  | 2026-03-31 05:09:52,516 [INFO] [gpt-5.4-mini] Tokens: 6190 in / 78 out / 6268 total | cost ~$0.0166
bot_worker-1  | 2026-03-31 05:10:09,481 [INFO] [gpt-5.4-mini] Tokens: 7120 in / 162 out / 7282 total | cost ~$0.0202
bot_worker-1  | 2026-03-31 05:10:49,071 [INFO] [gpt-5.4-mini] Tokens: 5939 in / 157 out / 6096 total | cost ~$0.0172
bot_worker-1  | 2026-03-31 05:11:43,795 [INFO] [gpt-5.4-mini] Tokens: 5552 in / 133 out / 5685 total | cost ~$0.0159
bot_worker-1  | 2026-03-31 05:12:44,687 [INFO] [gpt-5.4-mini] Tokens: 5621 in / 138 out / 5759 total | cost ~$0.0161
bot_worker-1  | 2026-03-31 05:13:53,597 [INFO] [gpt-5.4-mini] Tokens: 5158 in / 154 out / 5312 total | cost ~$0.0152
bot_worker-1  | 2026-03-31 05:14:31,731 [INFO] [gpt-5.4-mini] Tokens: 5421 in / 94 out / 5515 total | cost ~$0.0150
bot_worker-1  | 2026-03-31 05:38:46,492 [INFO] [gpt-5.4-mini] Tokens: 4986 in / 100 out / 5086 total | cost ~$0.0140
bot_worker-1  | 2026-03-31 05:39:16,125 [INFO] [gpt-5.4-mini] Tokens: 6838 in / 108 out / 6946 total | cost ~$0.0187
bot_worker-1  | 2026-03-31 05:39:37,969 [INFO] [gpt-5.4-mini] Tokens: 5688 in / 93 out / 5781 total | cost ~$0.0156
bot_worker-1  | 2026-03-31 05:40:34,375 [INFO] [gpt-5.4-mini] Tokens: 5705 in / 95 out / 5800 total | cost ~$0.0157
bot_worker-1  | 2026-03-31 06:15:29,988 [INFO] [gpt-5.4-mini] Tokens: 5452 in / 101 out / 5553 total | cost ~$0.0151
bot_worker-1  | 2026-03-31 06:16:15,682 [INFO] [gpt-5.4-mini] Tokens: 5896 in / 133 out / 6029 total | cost ~$0.0167
bot_worker-1  | 2026-03-31 06:17:02,074 [INFO] [gpt-5.4-mini] Tokens: 7122 in / 99 out / 7221 total | cost ~$0.0193
bot_worker-1  | 2026-03-31 08:03:57,074 [INFO] [gpt-5.4-mini] Tokens: 5992 in / 99 out / 6091 total | cost ~$0.0165
bot_worker-1  | 2026-03-31 08:05:15,462 [INFO] [gpt-5.4-mini] Tokens: 5247 in / 146 out / 5393 total | cost ~$0.0153
bot_worker-1  | 2026-03-31 08:05:58,018 [INFO] [gpt-5.4-mini] Tokens: 5590 in / 105 out / 5695 total | cost ~$0.0155
